,Path,Label,Daemon/Agent,Program,Argument,maxCPU,UserName,GroupName,Permission(8)
80,/System/Library/LaunchAgents/com.apple.cfnetwork.AuthBrokerAgent.plist,com.apple.cfnetwork.AuthBrokerAgent,agent,x,['/System/Library/Frameworks/CFNetwork.framework/Versions/A/Support/AuthBrokerAgent'],x,x,x,x
81,/System/Library/LaunchAgents/com.apple.metadata.mdwrite.plist,com.apple.metadata.mdwrite,agent,x,['/System/Library/Frameworks/CoreServices.framework/Frameworks/Metadata.framework/Versions/A/Support/mdwrite'],x,x,x,x
82,/System/Library/LaunchAgents/com.apple.appsleepd.plist,com.apple.appsleep,agent,x,['/usr/sbin/appsleepd'],x,x,x,x
83,/System/Library/LaunchAgents/com.apple.coreservices.UASharedPasteboardProgressUI.plist,com.apple.coreservices.UASharedPasteboardProgressUI,agent,x,['/System/Library/PrivateFrameworks/UserActivity.framework/Agents/UASharedPasteboardProgressUI.app/Contents/MacOS/UASharedPasteboardProgressUI'],x,x,x,x
84,/System/Library/LaunchAgents/com.apple.cdpd.plist,com.apple.cdpd,agent,x,['/System/Library/PrivateFrameworks/CoreCDP.framework/Versions/A/Resources/cdpd'],x,x,x,x
85,/System/Library/LaunchAgents/com.apple.accountsd.plist,com.apple.accountsd,agent,x,['/System/Library/Frameworks/Accounts.framework/Versions/A/Support/accountsd'],x,x,x,x
86,/System/Library/LaunchAgents/com.apple.SSInvitationAgent.plist,com.apple.ssinvitationagent,agent,/System/Library/CoreServices/RemoteManagement/ScreensharingAgent.bundle/Contents/Support/SSInvitationAgent.app/Contents/MacOS/SSInvitationAgent,x,x,x,x,x
87,/System/Library/LaunchAgents/com.apple.scopedbookmarkagent.xpc.plist,com.apple.scopedbookmarksagent.xpc,agent,/System/Library/CoreServices/ScopedBookmarkAgent,x,x,x,x,x
88,/System/Library/LaunchAgents/com.apple.mdmclient.agent.plist,com.apple.mdmclient.agent,agent,x,"['/usr/libexec/mdmclient', 'agent']",x,x,x,x
89,/System/Library/LaunchAgents/com.apple.UserNotificationCenterAgent-LoginWindow.plist,com.apple.UserNotificationCenterAgent-LoginWindow,agent,x,"['/System/Library/CoreServices/UserNotificationCenter.app/Contents/MacOS/UserNotificationCenter', '-loginwindow']",x,x,x,x
90,/System/Library/LaunchAgents/com.apple.metadata.mdbulkimport.plist,com.apple.metadata.mdbulkimport,agent,x,"['/System/Library/Frameworks/CoreServices.framework/Frameworks/Metadata.framework/Versions/A/Support/mdbulkimport', '-s', 'mdbulkimport']",x,x,x,x
91,/System/Library/LaunchAgents/com.apple.WiFiVelocityAgent.plist,com.apple.WiFiVelocityAgent,agent,/usr/libexec/WiFiVelocityAgent,x,x,x,x,x
92,/System/Library/LaunchAgents/com.apple.applespell.plist,com.apple.applespell,agent,x,['/System/Library/Services/AppleSpell.service/Contents/MacOS/AppleSpell'],x,x,x,x
93,/System/Library/LaunchAgents/com.apple.mbuseragent.plist,com.apple.mbuseragent,agent,x,['/System/Library/CoreServices/Setup Assistant.app/Contents/Resources/mbuseragent'],x,x,x,x
94,/System/Library/LaunchAgents/com.apple.dt.CommandLineTools.installondemand.plist,com.apple.dt.CommandLineTools.installondemand,agent,/System/Library/CoreServices/Install Command Line Developer Tools.app/Contents/MacOS/Install Command Line Developer Tools,x,x,x,x,x
95,/System/Library/LaunchAgents/com.apple.UsageTrackingAgent.plist,com.apple.UsageTrackingAgent,agent,/System/Library/PrivateFrameworks/UsageTracking.framework/Versions/A/UsageTrackingAgent,x,x,x,x,x
96,/System/Library/LaunchAgents/com.apple.TrustEvaluationAgent.plist,com.apple.TrustEvaluationAgent,agent,/System/Library/PrivateFrameworks/TrustEvaluationAgent.framework/Resources/trustevaluationagent,['trustevaluationagent'],x,x,x,x
97,/System/Library/LaunchAgents/com.apple.PCIESlotCheck.plist,com.apple.PCIESlotCheck,agent,x,['/System/Library/CoreServices/Expansion Slot Utility.app/Contents/Resources/PCIESlotCheck'],x,x,x,x
98,/System/Library/LaunchAgents/com.apple.protectedcloudstorage.protectedcloudkeysyncing.plist,com.apple.protectedcloudstorage.protectedcloudkeysyncing,agent,/System/Library/PrivateFrameworks/ProtectedCloudStorage.framework/Helpers/ProtectedCloudKeySyncing,x,x,x,x,x
99,/System/Library/LaunchAgents/com.apple.imtransferagent.plist,com.apple.imcore.imtransferagent,agent,x,['/System/Library/PrivateFrameworks/IMTransferServices.framework/IMTransferAgent.app/Contents/MacOS/IMTransferAgent'],x,x,x,x
100,/System/Library/LaunchAgents/com.apple.cvmsCompAgent3600_x86_64.plist,com.apple.cvmsCompAgent3600_x86_64,agent,x,"['/System/Library/Frameworks/OpenGL.framework/Versions/A/Libraries/3600/CVMCompiler', '4']",x,x,x,x
101,/System/Library/LaunchAgents/com.apple.spindump_agent.plist,com.apple.spindump_agent,agent,x,['/usr/libexec/spindump_agent'],x,x,x,x
102,/System/Library/LaunchAgents/com.apple.pluginkit.pkd.plist,com.apple.pluginkit.pkd,agent,/usr/libexec/pkd,x,x,x,x,x
103,/System/Library/LaunchAgents/com.apple.PIPAgent.plist,com.apple.PIPAgent,agent,/System/Library/CoreServices/PIPAgent.app/Contents/MacOS/PIPAgent,x,x,x,x,x
104,/System/Library/LaunchAgents/com.apple.notificationcenterui.plist,com.apple.notificationcenterui.agent,agent,/System/Library/CoreServices/NotificationCenter.app/Contents/MacOS/NotificationCenter,x,x,x,x,x
105,/System/Library/LaunchAgents/com.apple.cfprefsd.xpc.agent.plist,com.apple.cfprefsd.xpc.agent,agent,x,"['/usr/sbin/cfprefsd', 'agent']",x,x,x,x
106,/System/Library/LaunchAgents/com.apple.UserEventAgent-LoginWindow.plist,com.apple.UserEventAgent-LoginWindow,agent,x,"['/usr/libexec/UserEventAgent', '(LoginWindow)']",x,x,x,x
107,/System/Library/LaunchAgents/com.apple.cvmsCompAgent3600_x86_64_1.plist,com.apple.cvmsCompAgent3600_x86_64_1,agent,x,"['/System/Library/Frameworks/OpenGL.framework/Versions/A/Libraries/3600/CVMCompiler', '5']",x,x,x,x
108,/System/Library/LaunchAgents/com.apple.backgroundtaskmanagementuiagent.plist,com.apple.backgroundtaskmanagementagent,agent,/System/Library/CoreServices/backgroundtaskmanagementagent,x,x,x,x,x
109,/System/Library/LaunchAgents/com.apple.familycircled.plist,com.apple.familycircled,agent,/System/Library/PrivateFrameworks/FamilyCircle.framework/Versions/A/Resources/familycircled,x,x,x,x,x
110,/System/Library/LaunchAgents/com.apple.coreservices.sharedfilelistd.plist,com.apple.coreservices.sharedfilelistd,agent,x,['/System/Library/CoreServices/sharedfilelistd'],x,x,x,x
111,/System/Library/LaunchAgents/com.apple.reversetemplated.plist,com.apple.reversetemplated,agent,x,['/System/Library/PrivateFrameworks/CoreSuggestions.framework/Versions/A/Support/reversetemplated'],x,x,x,x
112,/System/Library/LaunchAgents/com.apple.loginwindow.LWWeeklyMessageTracer.plist,com.apple.loginwindow.LWWeeklyMessageTracer,agent,x,['/System/Library/CoreServices/loginwindow.app/Contents/Resources/LWWeeklyMessageTracer'],x,x,x,x
113,/System/Library/LaunchAgents/com.apple.diagnostics_agent.plist,com.apple.diagnostics_agent,agent,x,['/System/Library/CoreServices/diagnostics_agent'],x,x,x,x
114,/System/Library/LaunchAgents/com.apple.photolibraryd.plist,com.apple.photolibraryd,agent,/System/Library/PrivateFrameworks/PhotoLibraryPrivate.framework/Versions/A/Support/photolibraryd,x,x,x,x,x
115,/System/Library/LaunchAgents/com.apple.syncservices.SyncServer.plist,com.apple.syncservices.SyncServer,agent,/System/Library/Frameworks/SyncServices.framework/Versions/Current/Resources/SyncServer.app/Contents/MacOS/SyncServer,x,x,x,x,x
116,/System/Library/LaunchAgents/com.apple.AddressBook.ContactsAccountsService.plist,com.apple.AddressBook.ContactsAccountsService,agent,/System/Library/Frameworks/AddressBook.framework/Executables/ContactsAccountsService,x,x,x,x,x
117,/System/Library/LaunchAgents/com.apple.PubSub.Agent.plist,com.apple.PubSub.Agent,agent,x,['/System/Library/PrivateFrameworks/PubSub.framework/Versions/A/Resources/PubSubAgent.app/Contents/MacOS/PubSubAgent'],x,x,x,x
118,/System/Library/LaunchAgents/com.apple.storeaccountd.plist,com.apple.storeaccountd,agent,/System/Library/PrivateFrameworks/CommerceKit.framework/Versions/A/Resources/storeaccountd,x,x,x,x,x
119,/System/Library/LaunchAgents/com.apple.AssetCache.agent.plist,com.apple.AssetCache.agent,agent,/usr/libexec/AssetCacheAgent/AssetCacheAgent,x,x,x,x,x
120,/System/Library/LaunchAgents/com.apple.familynotificationd.plist,com.apple.familynotificationd,agent,/System/Library/PrivateFrameworks/FamilyNotification.framework/Versions/A/Resources/Family.app/Contents/MacOS/Family,x,x,x,x,x
121,/System/Library/LaunchAgents/com.apple.diskspaced.plist,com.apple.diskspaced,agent,/System/Library/PrivateFrameworks/StorageManagement.framework/Resources/diskspaced,x,x,x,x,x
122,/System/Library/LaunchAgents/com.apple.CoreLocationAgent.plist,com.apple.CoreLocationAgent,agent,x,['/System/Library/CoreServices/CoreLocationAgent.app/Contents/MacOS/CoreLocationAgent'],x,x,x,x
123,/System/Library/LaunchAgents/com.apple.SafariBookmarksSyncAgent.plist,com.apple.SafariBookmarksSyncAgent,agent,/System/Library/CoreServices/SafariSupport.bundle/Contents/MacOS/SafariBookmarksSyncAgent,x,x,x,x,x
124,/System/Library/LaunchAgents/com.apple.scrod.plist,com.apple.scrod,agent,x,['/System/Library/PrivateFrameworks/ScreenReader.framework/Frameworks/ScreenReaderOutput.framework/Resources/scrod'],x,x,x,x
125,/System/Library/LaunchAgents/com.apple.PhotoLibraryMigrationUtility.XPC.plist,com.apple.PhotoLibraryMigrationUtility.XPC,agent,x,"['/System/Library/CoreServices/Photo Library Migration Utility.app/Contents/MacOS/Photo Library Migration Utility', '-server']",x,x,x,x
126,/System/Library/LaunchAgents/com.apple.cmfsyncagent.plist,com.apple.cmfsyncagent,agent,x,['/System/Library/PrivateFrameworks/CommunicationsFilter.framework/CMFSyncAgent'],x,x,x,x
127,/System/Library/LaunchAgents/com.apple.cache_delete.plist,com.apple.cache_delete,agent,x,['/System/Library/PrivateFrameworks/CacheDelete.framework/deleted'],x,x,x,x
128,/System/Library/LaunchAgents/com.apple.keyboardservicesd.plist,com.apple.keyboardservicesd,agent,/usr/libexec/keyboardservicesd,['/usr/libexec/keyboardservicesd'],x,x,x,x
